EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
26,100,0.93446400,0.00100000,64,486,50,dgru,8,0.00091062,0.00073126,-29.231878,-30.86288225,-33.85323987,-31.83318780,-32.84321384,0.00084928,-29.034414,-30.87777527,-32.27177544,-30.46997661,-31.37087602
27,100,0.95961163,0.00100000,64,486,50,dgru,8,0.00090614,0.00072685,-29.255087,-30.88386048,-33.64632082,-31.64304997,-32.64468539,0.00083633,-29.101784,-30.94901579,-32.13912961,-30.33975439,-31.23944200
28,100,0.98456290,0.00100000,64,486,50,dgru,8,0.00090133,0.00072170,-29.282227,-30.88617257,-33.60512213,-31.71985147,-32.66248680,0.00082688,-29.149155,-30.99609728,-32.06626400,-30.41517792,-31.24072096
29,100,1.00958008,0.00100000,64,486,50,dgru,8,0.00089645,0.00072295,-29.28128,-30.88603954,-33.59142959,-31.67714875,-32.63428917,0.00082499,-29.159903,-31.01769645,-32.10666946,-30.40445763,-31.25556355
30,100,1.03451972,0.00100000,64,486,50,dgru,8,0.00089056,0.00073541,-29.20553,-30.91047211,-33.69676835,-31.87513259,-32.78595047,0.00084568,-29.053637,-30.95229940,-32.13850920,-30.57110896,-31.35480908
31,100,1.05960313,0.00100000,64,486,50,dgru,8,0.00088528,0.00070863,-29.362188,-30.98353039,-33.61064191,-31.62084021,-32.61574106,0.00080921,-29.241777,-31.06891522,-32.09583784,-30.37796125,-31.23689954
32,100,1.08457582,0.00100000,64,486,50,dgru,8,0.00088173,0.00070567,-29.384077,-31.00292635,-33.53225591,-31.64593854,-32.58909723,0.00080671,-29.256912,-31.08063812,-32.05130825,-30.37801860,-31.21466342
33,100,1.10960592,0.00100000,64,486,50,dgru,8,0.00087494,0.00070812,-29.371851,-30.98311916,-33.53400127,-31.67599812,-32.60499969,0.00080884,-29.248632,-31.06468616,-32.06413549,-30.40325775,-31.23369662
34,100,1.13456243,0.00100000,64,486,50,dgru,8,0.00086881,0.00069611,-29.446463,-31.05513210,-33.66198740,-31.84470237,-32.75334488,0.00080007,-29.292036,-31.08792022,-32.12306284,-30.50162007,-31.31234146
35,100,1.15965162,0.00100000,64,486,50,dgru,8,0.00086146,0.00068977,-29.481232,-31.06414568,-33.66759847,-31.83242510,-32.75001179,0.00078409,-29.37699,-31.12445240,-32.10646893,-30.50664556,-31.30655725
36,100,1.18472710,0.00100000,64,486,50,dgru,8,0.00085309,0.00068612,-29.507484,-31.05914251,-33.51704778,-31.82289171,-32.66996975,0.00077630,-29.42505,-31.16673309,-32.02265636,-30.45989891,-31.24127763
37,100,1.20992715,0.00100000,64,486,50,dgru,8,0.00084442,0.00067574,-29.57342,-31.13190791,-33.39250762,-31.83257084,-32.61253923,0.00075949,-29.516851,-31.23030175,-31.92228674,-30.42730963,-31.17479819
38,100,1.23502810,0.00100000,64,486,50,dgru,8,0.00083264,0.00065892,-29.683708,-31.26503766,-33.63093106,-31.94126794,-32.78609950,0.00074196,-29.617615,-31.31983188,-32.05906508,-30.50458193,-31.28182351
39,100,1.26016068,0.00100000,64,486,50,dgru,8,0.00081953,0.00063984,-29.811586,-31.35554078,-33.58345640,-32.06629516,-32.82487578,0.00071516,-29.777834,-31.43472150,-31.96695607,-30.56477176,-31.26586391
40,100,1.28539318,0.00100000,64,486,50,dgru,8,0.00080569,0.00062702,-29.905687,-31.49104086,-33.63885041,-32.09650038,-32.86767539,0.00070444,-29.845629,-31.51112747,-32.02119214,-30.58257842,-31.30188528
41,100,1.31052754,0.00100000,64,486,50,dgru,8,0.00078814,0.00060959,-30.027138,-31.62228809,-33.56817816,-32.01137168,-32.78977492,0.00067443,-30.032137,-31.66522589,-31.94220399,-30.51440629,-31.22830514
42,100,1.33565805,0.00100000,64,486,50,dgru,8,0.00076434,0.00058579,-30.206324,-32.01334764,-33.64606287,-32.08573692,-32.86589989,0.00064639,-30.219732,-31.99106668,-31.86514887,-30.62520241,-31.24517564
43,100,1.36106993,0.00100000,64,486,50,dgru,8,0.00073719,0.00053202,-30.615694,-32.47346800,-33.54129349,-31.96192046,-32.75160698,0.00058193,-30.669573,-32.42872890,-31.75019081,-30.56342031,-31.15680556
44,100,1.38682185,0.00100000,64,486,50,dgru,8,0.00071841,0.00052120,-30.710527,-32.70277965,-33.61510561,-32.11810444,-32.86660503,0.00057685,-30.712425,-32.57930451,-31.82582710,-30.71701210,-31.27141960
45,100,1.41310372,0.00100000,64,486,50,dgru,8,0.00070743,0.00050317,-30.860579,-32.83730746,-33.47075160,-31.99517515,-32.73296337,0.00054514,-30.956009,-32.84575834,-31.72981259,-30.59761804,-31.16371531
46,100,1.43971675,0.00100000,64,486,50,dgru,8,0.00069841,0.00049505,-30.928467,-32.90545756,-33.38351409,-31.96221797,-32.67286603,0.00053448,-31.040377,-32.90433068,-31.67916595,-30.58292090,-31.13104342
47,100,1.46496260,0.00100000,64,486,50,dgru,8,0.00069194,0.00049456,-30.935663,-32.94554982,-33.39471148,-32.02969446,-32.71220297,0.00053915,-31.006409,-32.91585283,-31.74829328,-30.66334254,-31.20581791
48,100,1.49148228,0.00100000,64,486,50,dgru,8,0.00068665,0.00052803,-30.652983,-32.83793769,-33.42913719,-32.14987371,-32.78950545,0.00057940,-30.699265,-32.72092532,-31.75700373,-30.75398612,-31.25549493
