I,Q,I_dpd,Q_dpd
0.006083691,0.003861796,0.0043860674,0.021501973
0.060464808,-0.129005316,0.0679517,-0.08458485
0.117791008,-0.306732288,0.111070305,-0.23022383
0.169566892,-0.451848152,0.14672215,-0.34751123
0.209514136,-0.486378433,0.16336766,-0.38061923
0.236141403,-0.370327493,0.16542813,-0.29248235
0.253890535,-0.124555366,0.16366181,-0.098637946
0.271313932,0.174380245,0.17130569,0.12931001
0.296194659,0.42614424,0.19411877,0.32782352
0.32957803,0.550438828,0.24755126,0.43226928
0.362043767,0.521476482,0.29579186,0.4094777
0.375119571,0.376274458,0.31801343,0.29227877
0.348392909,0.193054779,0.30246317,0.14221938
0.269690636,0.051171672,0.23834234,0.024552569
0.143442417,-0.006755082,0.13131082,-0.025888063
-0.00749335,0.008648699,-0.019125827,-0.002971299
-0.148430784,0.045958132,-0.11707126,0.01041957
-0.245550867,0.046501684,-0.19339928,0.017121628
-0.278962146,-0.019946799,-0.2138463,-0.019657128
-0.249810105,-0.137112198,-0.18243659,-0.098887116
-0.177884756,-0.251637299,-0.122688,-0.18060908
-0.091005469,-0.30451052,-0.061010696,-0.2201835
-0.011803002,-0.266696846,-0.012634315,-0.18977791
0.051068915,-0.158583939,0.023435563,-0.10516322
0.102707921,-0.041555267,0.059503824,-0.016432904
0.153242967,0.014646081,0.108108625,0.02094461
0.206116812,-0.028569362,0.15851182,-0.015355341
0.250851025,-0.154027076,0.20624071,-0.11438773
0.265447338,-0.2934688,0.22257772,-0.22752285
0.228031482,-0.360468522,0.18489295,-0.28991443
0.131594091,-0.295253057,0.095325455,-0.24558891
-0.006927844,-0.098225556,-0.02310875,-0.0978133
-0.149678797,0.165667436,-0.14372039,0.10147148
-0.253159427,0.394740435,-0.23008311,0.29410928
-0.28884026,0.497015086,-0.24272403,0.38664973
-0.258374291,0.432249319,-0.19428688,0.3462357
-0.194495595,0.228943402,-0.11942165,0.19000797
-0.145647217,-0.031269426,-0.06961439,-0.009313829
-0.15104803,-0.252850481,-0.076014735,-0.1883733
-0.218670826,-0.368786827,-0.14323056,-0.29445082
-0.318107368,-0.365371469,-0.24727386,-0.2945503
-0.393351256,-0.278830215,-0.32255992,-0.22313744
-0.390405727,-0.168508373,-0.3273844,-0.12837024
-0.286485691,-0.083087856,-0.24377728,-0.050006207
-0.105833618,-0.038472068,-0.09936785,-0.0013068989
0.086926242,-0.017884621,0.05206959,0.016978562
0.214087726,0.008627578,0.15983656,0.034445003
0.220521701,0.058998455,0.16643918,0.057169706
0.100675301,0.124356381,0.074429296,0.086327806
-0.096486268,0.173593248,-0.075371034,0.11331463
-0.287631283,0.173990458,-0.2219564,0.11214885
-0.391289937,0.11457816,-0.3020861,0.07405266
-0.363367658,0.01702028,-0.2726212,0.014506176
-0.215514252,-0.073798587,-0.15426204,-0.03866417
-0.0082157,-0.114972712,-0.0023043677,-0.060566697
0.17745055,-0.09203544,0.13875622,-0.045962296
0.275580251,-0.030493028,0.20624322,-0.0035624653
0.261997911,0.015798068,0.19472837,0.019315153
0.160109875,-0.005609682,0.12205903,-0.01065819
0.025047717,-0.11388682,0.03777108,-0.099391386
-0.084562372,-0.279257463,-0.044330485,-0.23836479
-0.132751135,-0.43370562,-0.08982947,-0.35083768
-0.11814847,-0.503902527,-0.08719257,-0.3981402
-0.067703507,-0.449536736,-0.062200733,-0.34783214
-0.017601099,-0.286412691,-0.035726212,-0.21440512
0.007337044,-0.081147446,-0.023303993,-0.053527072
0.004909434,0.080750389,-0.03255993,0.05505377
-0.007373706,0.137227249,-0.024907954,0.10298915
-0.00613176,0.080311247,-0.0071589574,0.054632723
0.022007191,-0.041217865,0.037189465,-0.03663221
0.071780574,-0.148617661,0.059451316,-0.11480963
0.12246181,-0.175262815,0.094061665,-0.1339454
0.150376759,-0.101706727,0.10758456,-0.07538755
0.143055666,0.034776098,0.098594025,0.025703281
0.106633727,0.160964262,0.065945044,0.11580986
0.062233515,0.20738962,0.03796944,0.15755709
0.033529575,0.14562773,0.028319266,0.110019594
0.032822011,0.00343253,0.04446255,0.0072985888
0.053862432,-0.149904265,0.069273695,-0.11390868
0.075888732,-0.239609044,0.07303857,-0.1829206
0.076947322,-0.223374575,0.061795503,-0.17017007
0.049143902,-0.11124048,0.027305607,-0.08278036
0.0069835,0.042290189,-0.02098959,0.023179129
-0.016684636,0.168464059,-0.036998972,0.12281495
0.013870988,0.219727606,-0.0061133355,0.16937296
0.117590326,0.19135453,0.084490255,0.16314329
0.282613265,0.118648757,0.22401097,0.10925135
0.465531367,0.05298638,0.3779983,0.055206686
0.60534688,0.031383547,0.49286884,0.033643395
0.646607682,0.057014823,0.5234191,0.040833488
0.561784093,0.100958749,0.44777638,0.060563564
0.363201842,0.122803516,0.2832877,0.065969154
0.099518304,0.096973215,0.081929676,0.035718367
-0.161494386,0.02883849,-0.11646909,-0.015528865
